Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,03/04/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,,Private Details,JOHN P. TERRANOVA II,,Private Details-Tr. John Terranova-fell on track-fx LF cannon bone-euthanized,Euthanasia
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),,Racing,Thoroughbred,,Private Details,JOHN P. TERRANOVA II,,Private Details-Tr. John Terranova-fell  fx LF cannon bone  euthanized,
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,,All Bets Off,B E. LEVINE,,All Bets Off-Tr. Bruce Levine-fell over downed horse-minor cuts & scrapes-horse ok,
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,,Hot Chile Soup,ENRIQUE ARROYO,,Hot Chile Soup-Tr. Enrique Arroyo-fell over downed horse-minor cuts & scrapes-horse ok,
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,,One Dream Union,BRUCE R. BROWN,,One Dream Union-Tr. Bruce Brown-fell over downed horse-minor cuts & scrapes-horse ok,
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,,Truly Devine,GARY C. CONTESSA,,Truly Devine-Tr. Gary Contessa-fell over downed horse  minor cuts & scrapes  horse ok,
2009,03/05/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Clear & Cold,Sigh You,,,Sigh You-Tr. Patrick Kelly-Euthanasia-Left Front Sesamoid FX,
2009,03/06/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,,Racing,Harness,,Raid the Bank N,ELAINE M. ELMORE,,Raid the Bank N-Tr. Elaine Elmore-performed poorly-will no longer run,
2009,03/24/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Cloudy/cold,Grouse A,TODD J. MARCIANO,,Grouse A-Tr. Todd Marciano- reinjured lower LF bow tendon-given rest time,
2009,03/28/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,Dr. Silver Packet,JOHN P. CAMPO JR,,Dr. Silver Packet-Tr. John Campo-horse hurt stifle-walked off track,
2009,03/29/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Rain,Yankee Threads,RICHARD L. STOKLOSA,,Yankee Threads-Tr. Richard Stoklosa-tore left suspensory-retired,
2009,04/01/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,One Funny Honey,ANTHONY W. DUTROW,,One Funny Honey-Tr. Anthony Dutrow-RF lameness,
2009,04/01/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear/sunny,Play for Silver,ANTHONY P. CUCCIO,,Play for Silver-Tr. Anthony Cuccio-scored down lame-scratched-shipped to Maine by Owner,
2009,04/01/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Raining/cool,Misty Moonlight,GARY L. MESSENGER,,Misty Moonlight-Tr. Gary Messenger-lower LR leg breakage-surgery-stall rest-back to racing,
2009,04/04/2009,STEWARDS/VETS LIST,Buffalo Raceway,,Racing,Harness,,Fox Valley Con Man,RONALD C. BEBACK JR,,Fox Valley Con Man-Tr. Ron Beback-lame RF ankle-given time before resuming workouts,
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway,,Other,Harness,,Cam Bo Informal,BOBBI JO MARTIN,,Cam Bo Informal-Tr. Bobbi Jo Martin-scratched 2 days prior to race-LF ankle-lame,
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway,BR,Other,Harness,,Chomp the Bit,LAURIE M. PATISTAS,,Chomp the Bit-Tr. Laurie Patistas-scratched 2 days prior to race - LF ankle-lame,
2009,04/08/2009,STEWARDS/VETS LIST,Buffalo Raceway,,Racing,Harness,,Hello Yankee,JAMES P. MCNEIGHT,,Hello Yankee-Tr. James McNeight-scratched lame-working w/ horse to correct lameness,
2009,04/09/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,clear 45 degrees,Him N Me,GENERAL B. WASHINGTON JR,,Him N Me-Tr. General Washington-came up lame-scratched-LF suspensor  ligament-stall & field rest,
2009,04/09/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Clear/Cool,Bell Valley Indian,TODD J. MARCIANO,,Bell Valley Indian-Tr. Todd Marciano-Scratched LF lame-must qualify,
2009,04/10/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,,Midnight Slammer,DOMINIC G. GALLUSCIO,,Midnight Slammer-Tr. Dominick Galluscio-Euthanasia-RF cannon bone fx,
2009,04/10/2009,STEWARDS/VETS LIST,Yonkers Raceway,Yonkers Raceway,Racing,Harness,,Cheyenne Margie,ROBERT D. SIEGELMAN,,Cheyenne Margie-Tr. Robert Siegelman-choked down & fell-walked off track-requalified 5/8/09,Steward's List
2009,04/11/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #35,Other,Thoroughbred,,My Lovely Lark,GREGORY J. DIPRIMA,,My Lovely Lark-Tr. Gregory Diprima-Euthanasia-Colic,
2009,04/14/2009,EQUINE DEATH,Yonkers Raceway,Yonkers,Training,Harness,,Della Crème,DENNIS J. LATERZA,,Della Crème-Tr. Dennis Laterza-collapsed & died while excercising,Equine Death
2009,04/16/2009,RACING INJURY,Aqueduct Racetrack (NYRA),Aqueduct Barn#9,Racing,Thoroughbred,Fair,Fighting Speedy,DAVID T. JACOBSON,,Fighting Speedy-Tr. Jacobson-vanned off track after race,
2009,04/17/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,,Western Thrill,,,Western Thrill-Driver P. Lancaster-unseated driver  ran loose & fell  minor abrasions-horse & driver ok,
2009,04/17/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred,,Speedball Howie,RAFAEL G. ROHENA SR,,Speedball Howie-Tr. Rafael Rohen  Sr.-suffered knee injury-xray showed fx knee-euthanized 10 days later 4/27/09,Injury
2009,04/17/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred,,Tin Cup Chalice,MICHAEL A. LECESSE,,TIN CUP CHALICE-Tr. Michael Lecesse-euthanized after accident-failed hind quarters,
2009,04/17/2009,ON-TRACK ACCIDENT,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred,Clear,Zany,JEREMIAH C. ENGLEHART,,Zany-Tr. J. Englehart & Tin Cup Chalice-Tr. M. Lecesse - horses collided-fx R humerus & lost function in rear extremities-euthenasia of both horses,
2009,04/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,,Roaring Spouse,DOROTHY A. GENTNER,,Roaring Spouse-Tr. Dorothy Gentner-LF fetlock lateral condylar fx-euthanized,
2009,04/23/2009,STEWARDS/VETS LIST,Yonkers Raceway,Yonkers,Racing,Harness,,Ray the King,SCOTT D. DIDOMENICO,,Ray the King-Tr. Scott DiDomenico-stumbled during race-atrial fib-walked off track,
2009,04/25/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Wire - first time,Racing,Thoroughbred,Clear,Cloud Nine,DAVID P. DUGGAN,,Cloud Nine-Tr. David Duggan-fx R hind cannon bone-euthanized,
2009,04/27/2009,STEWARDS/VETS LIST,Yonkers Raceway,On Track,Racing,Harness,Clear,Hawaiian Rowdy,JOSHUA L. GREEN,,Hawaiian Rowdy-Tr. Josh Green-DNF  Race - A Fib - taken home,
2009,04/28/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Barn#1,Training,Thoroughbred,Clear,Mickeless,BOB G. DUNHAM,,Mickeless-Tr. Bob Dunham-fx RF sesamoids-Euthanasia,Death
2009,04/28/2009,EQUINE DEATH,Belmont Park (NYRA),1mile 1/4,Training,Thoroughbred,Clear,Timberah,STEVEN M. ASMUSSEN,,Timberah-Tr. Steven Asmussen-RF sesamoid fx-euthanasia,
2009,04/28/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Other,Thoroughbred,,ESTOPLAM,HECTOR GUERRA,,Estoplam-Tr. Hector Guerra-advanced joint disease-euthanized,
2009,04/28/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,,Even Par,SAMUEL J. KEYROUZE,,EVEN PAR-Tr. Samuel Keyrouse-fx left cannon bone-euthanized,Equine Death
2009,04/28/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,REMEMBER BETTY,JAMES G. KETTELL,,Remember Betty-Tr. James Kettell-bled-pulled up-vanned off track-removed from bleeder's list 5/17/09,Steward's List
2009,04/28/2009,STEWARDS/VETS LIST,Tioga Downs,Paddock and race track,Racing,Harness,snowing then sun,Henry 8th,PHILLIP J. FLUET,,Henry 8th-Tr. Phillip Fluet-lame in post parade-scratched,Steward's List
2009,04/29/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Cloudy,Andrew Patron N,WILLIAM R. MINTZ,,Andrew Patron N-Tr. William Mintz-lame-sprain LF leg-scratched-stall rest,Steward's List
2009,04/29/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,"MR, After Start, Racing",Unknown,Harness,Cloudy/cool,Chicka Chicka,PETER T. STRATTON,,Chicka Chicka-Tr. Peter Stratton-suspected fx-horse sold (See case R0578.09),Injury
2009,04/30/2009,FALL OF RIDER,Belmont Park (NYRA),Main Track,Racing,Thoroughbred,Clear,Royal Skip,PAULINO O. ORTIZ,,Royal Skip-Tr. Paulino Ortiz-rider unseated & taken to hospital & released-no injury to horse,
2009,04/30/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After Wire,Racing,Thoroughbred,Clear,King Mobay,SYDNEY D. DUTROW,,King Mobay-Tr. Sydney Dutrow-LF suspensory damage-horse retired,Injury
2009,05/01/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After Wire,Racing,Thoroughbred,Clear,Wicked B. Havior,BARCLAY TAGG,,Wicked B. Havior-Tr. Barclay Tagg-pulled up lame-resumed training,Lame no death
2009,05/02/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Other,Thoroughbred,,BENEFIANCE,OSCAR S. BARRERA JR,,Benefiance-Tr. Oscar Barrera  Jr.-medial basalar sesamoidiar fracture-euthanized,death
2009,05/02/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,BEAUS GIN,RAMON VAZQUEZ JR,,Beaus Gin-Tr. Ramon Vazquez-vanned off-reinjured LF tendon-retired,Steward's List
2009,05/03/2009,EQUINE DEATH,Belmont Park (NYRA),3/4 Pole,Training,Thoroughbred,Cloudy,Not Ja Mama,KIARAN P. MCLAUGHLIN,,Not Ja Mama-Tr. Kiaran McLaughlin-RF Cannon Bone Fx-Euthanasia,Death
2009,05/04/2009,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Cloudy,Chicka Chicka,PETER T. STRATTON,,Chicka Chicka-Tr. Peter Stratton-fx LF leg-euthanized (see case #R0251.09),Euthanasia
2009,05/07/2009,EQUINE DEATH,Belmont Park (NYRA),Barn #10,Racing,Thoroughbred,Overcast,Precious Kiss,THOMAS ALBERTRANI,,Precious Kiss-Tr. Thomas Albertrani-LF sesamoids fx-euthanized,Death
2009,05/07/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  cool,Blueridge Ingenue,CLAUDE H. BOURGEOIS,,Blueridge Ingenue-Claude Bourgeois-lame during warm-up-scratched-giving time off,Lameness
2009,05/10/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Barn #3 Aqueduct,Racing,Thoroughbred,Clear,Digger Karakorum,JEFFREY K. ODINTZ,,Digger Karakorum-Tr. Jeffrey Odintz-RF bowed tendon-sent to farm to recover,Injury
2009,05/14/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After wire,Racing,Thoroughbred,Cloudy,Sounds Tacky,PASTOR . MENA II,,Sounds Tacky-Tr. Pastor Mena-pulled up & ambulanced off track-no apparent injury-removed from vet's list,Steward's List
2009,05/14/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,"MR, After Start, Racing",Racing,Harness,Cloudy/cool,Chicka Chicka,PETER T. STRATTON,,Chicka Chicka-Tr. Peter Stratton-suspected fx-horse sold (See case R0578.09),Steward's List
2009,05/14/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Rain,Harmony Shuttle,HENRY H. WESTBROOK III,,Harmony Shuttle-Tr. Henry Westbrook-flipped entering track-scratched-no apparent injuries,Steward's List
2009,05/15/2009,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,Cloudy,Deferredretirement,FAUSTINO F. RAMOS,,Deferredretirement-Tr. Faustino Ramos-RF sesamoid fx-euthanized,Euthanasia
2009,05/15/2009,EQUINE DEATH,Yonkers Raceway,1/2mi POLE,Racing,Harness,CLEAR,B SMART,SCOTT D. DIDOMENICO,,B Smart-Tr. Scott DiDomenico-fx LH cannon bone-euthanized,Euthanasia
2009,05/15/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,,DW'S Judy,GILBERT E. LAWYER JR,,DW'S Judy-Tr. Gilbert Lawyer-LF lameness-scratched-5/29/09 returned t race,Steward's List
2009,05/20/2009,ACCIDENT - ON TRACK,Buffalo Raceway,finish line -,Racing,Harness,clear,CODE WHITE,LYNN M. FISHER,,Code White-Tr. Lynn Fisher-fell at finish line-LF elbow & knee lacerations-horse recovering quickly,Injury
2009,05/20/2009,EQUINE DEATH,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,Clear,City On Line,HARRY A. JERKENS,,City On Line-Tr. Harry Jerkens-unseated rider ran to paddock & hit statue-L femur fx-euthanized,Equine Death
2009,05/20/2009,STEWARDS/VETS LIST,Buffalo Raceway,finish line - Buffalo Raceway,Racing,Harness,clear,WINFORUS N,BRENDA A. OHOL,,Winforus N-Tr. Brenda Ohol-fell after crossing finish line-superficial injuries bandaged and rest,Injury
2009,05/22/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  warm,makeherownway,JOHN G. STASKOWSKI,,Makeherownway-Tr. John Staskowski-came up lame following race-horse retired,Lameness
2009,05/28/2009,EQUINE DEATH,Belmont Park (NYRA),Wire,Racing,Thoroughbred,cloudy,Sammy's Toy,TIMOTHY S. RITVO,,Sammy's Toy-Tr. Tim Ritvo-sesamoid fractures & suspensory rupture-euthanized,Euthanasia
2009,05/30/2009,ACCIDENT - ON TRACK,Tioga Downs,Tioga Downs,Racing,Harness,Clear,Bull Rush,RAYMOND W. SCHNITTKER,,Bull Rush-Tr. R. Schnittker & Lockridge-Tr. K Johnson-collision after race-no injury to Bull Rush-Lockridge sustained RF splint bone fx-surgery-cond. Unknown,
2009,05/30/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,Sunny  Clear,Marquee Nights,DANIEL R. DALEY,,Marquee Nights-Tr. D. Daley-ran into another sulky-superficial injuries to horse & no injury to driver,Accident
2009,05/30/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn 43,Other,Thoroughbred,,Glacken Queen,MICHAEL E. HUSHION,,Glacken Queen-Tr. Michael Hushion-flipped while washing  head trauma could not stand-euthanized,Equine Death
2009,05/30/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,clear - 66 degrees,Tropical Punch,LAURIE M. PATISTAS,,Tropical Punch-Tr. Laurie Patistas-lame horse on trac-scratched-full recovery expected,Lameness
2009,05/30/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs,Racing,Harness,Clear,LOCKRIDGE,KEVIN W. JOHNSON,,Lockridge-Tr. Kevin Johnson-sustained RF splint bone fx-surgery-condition unknown,Accident
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),After 1/4 pole,Racing,Thoroughbred,Sunny,Sassification,MICHAEL J. JABLOW,,Sassification-Tr. Michael Jablow-LF sesamoid fx-euthanized,Euthanasia
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont barn 43,Training,Thoroughbred,Cloudy,Teapot Dome,MICHAEL E. HUSHION,,Teapot Dome-Tr. Michael Hushion-CV collapse after breezing-died in stall,Equine Death
2009,06/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,,Munro Bank,RAFAEL G. ROHENA SR,,Munro Bank-Tr. Rafael G Rohena Sr.-fx-lame-surgery not an option-euthanized,Equine Death
2009,06/06/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Barn 31,Racing,Thoroughbred,,Dunkirk,TODD A. PLETCHER,,Dunkirk-Tr. Todd Pletcher-fx LH cannon bone-surgery to correct-sent to Kentucky for stud,Injury
2009,06/06/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness,,Shorty's Boy N,DAVID J. CORLEW,,Shorty's Boy N-Tr. David Corlew-lame L/F ankle-turned out to rest,Steward's List
2009,06/09/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred,,A SONG FOR HOPE,RAFAEL G. ROHENA SR,,A Song For Hope-Tr. Rafael Rohena  Sr.-sustained mid-body humeral fx during workout-euthanized,Euthanasia
2009,06/12/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont Race Track,Racing,Thoroughbred,,Dance Lesson,GREGORY J. DIPRIMA,,Dance Lesson-Tr. Gregory Diprima-bowed RF tendon-retired  broodmare,Injury
2009,06/13/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,Sunny  Clear,Steuben Paul,MARY BETH NELSON,,Steuben  Paul-Tr. Mary Beth Fisher-hit by another sulky-superficial injuries to horse-driver not injured,Accident
2009,06/13/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes Racetrack,Training,Thoroughbred,,LILITH'S DREAM,JONATHAN B. BUCKLEY,,Lilith's Dream- Tr. Jonathan Buckley-fx sesamoid RF limb-euthanized,Euthanasia
2009,06/13/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Harness,Racing,Harness,70  Rain,Seeshark,DAVID J. CORLEW,,Seeshark-Tr. David Corlew-lame-scratched-6/24/09-ok to race,Steward's List
2009,06/13/2009,STEWARDS/VETS LIST,Vernon Downs,Vernon Downs,Racing,Harness,raining,First Nation,DONALD B. SIMMONDS,,First Nation-Tr. Donald Simmonds-broke equip.-horse stumbled-slight wound both front legs-horse OK,Steward's List
2009,06/14/2009,ACCIDENT - DRIVER/JOCKEY,Belmont Park (NYRA),Gate,Racing,Thoroughbred,Clouds & Sun,Alfonso's Loss,LEO O'BRIEN,,Alfonso's Loss-Tr. Leo O'Brien-unseated rider at starting gate-scratched-horse & rider OK,Accident
2009,06/14/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Going to Gate,Racing,Thoroughbred,Clouds & Sun,Distorted Passion,TODD A. PLETCHER,,Distorted Passion-Tr. Todd Pletcher-kicked by lead pony-sustained wound-stitched-jogging 6/16/09,Steward's List
2009,06/17/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 26,Other,Thoroughbred,,Sailor's Cap,JAMES J. TONER,,Sailor's Cap-Tr. James Toner-found dead in stall-pathology report-acute necrotizing colitis,Equine Death
2009,06/17/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Gate,Racing,Thoroughbred,Clouds & Sun,That's How I Roll,KIARAN P. MCLAUGHLIN,,That's How I Roll-Tr. Kiaran McLaughlin-flipped in gate-scratched-minor scrapes-horse & rider OK,Steward's List
2009,06/17/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway - track,Racing,Harness,64 degrees - rain,PASSWORD,SHERRI L. HOLLIDAY,,Password-Tr. Sherri Holliday-LF sesamoid fx-retired-broodmare,Injury
2009,06/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Unknown,Harness,Cloudy,Match That,BRIAN A. O'NEILL,,Match-Tr. Brian O'Neill- That scratched,
2009,06/18/2009,STEWARDS/VETS LIST,Yonkers Raceway,Yonkers,Racing,Harness,rain,Jenny the Genie,EDWARD C. CLEMENT,,Jenny the Genie-Tr. Edward Clement-choked down-fell to knees-no injury noted,Steward's List
2009,06/19/2009,EQUINE DEATH,Vernon Downs,VD,Racing,Harness,CLEAR,JOHN HENRY,DANIEL R. DALEY,,John Henry-Tr. Daniel Daley-sustained fx L knee-euthanized,Equine Death
2009,06/20/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #37,Racing,Thoroughbred,Clouds & Sun,Hi Daddy,LEAH A. GYARMATI,,Hi Daddy-Tr. Leah Gyarmati-Died after raced-Cardiovascular Collapse,Equine Death
2009,06/20/2009,FALL OF HORSE,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred,rain,Patty's Breeze,PAUL W. BARROW,,Patty's Breeze-Tr. Paul Barrow-horse flipped on Rider Tammi Lord-injured leg-horse ok,
2009,06/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACETRACK,Racing,Thoroughbred,RAIN,I'M A BELIEVER,OSCAR S. BARRERA JR,,I'm A Believer-Tr. Oscar Barrera  Jr.-sustained fx 3rd carpal bone- euthanized,Equine Death
2009,06/21/2009,FALL OF HORSE,Tioga Downs,Tioga Downs  3/4 pole,Racing,Harness,Cloudy 72 degrees,Yankee Vader,JACLYN B. BAILEY,,Yankee Vader-Tr. Jaclyn Bailey-fell on track-sustained skin scrapes to knees & laceration above right eye-return to racing end of July,Steward's List
2009,06/21/2009,FALL OF RIDER,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,RIVER WARRIOR,BETH MILLER-SAUL,,River Warrior-Tr. Beth Saul-reared at start and lost rider-no injury to horse or rider,
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear but overcast,Super Precious,BRIAN A. O'NEILL,,Super Precious-Tr. Brian O'Neill-LF leg lameness-scratched,Lameness
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Clear but overcast,Jamin James,BRIAN A. O'NEILL,,Jasmin James-Tr. Brian O'Neill-RF lameness-scratched,Lameness
2009,06/26/2009,FALL OF RIDER,Belmont Park (NYRA),Quarter pole,Racing,Thoroughbred,Cloudy,Prairie Boy,JOFFRE M. CORREA,,Prairie Boy-Tr. Joffre Correa-Tight quarters hit rail  rider lost-both horse & jockey ok,
2009,06/26/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,CHALLENGER'S SONG,RAFAEL G. ROHENA SR,,Challenger's Song-Tr. Rafael Rohena  Sr.-reinjured bowed tendon-must requalify,
2009,06/26/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga  Harness,Racing,Harness,Clear 70 deg,Bama Bound,COLIN JOHNSON,,Bama Bound-Tr. Colin Johnson-fx coffin bone- horse retired,Steward's List
2009,06/27/2009,EQUINE DEATH,Belmont Park (NYRA),,Racing,Thoroughbred,,Cape Marco,NICHOLAS P. ZITO,,Cape Marco-Tr. Nick Zito-ruptured artery/torn ligaments-euthanized,Euthanasia
2009,06/27/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs Paddock,Racing,Harness,Clear   73,Venable,ANDREW B. BYLER,,Venable-Tr. Andrew Byler-Muscular cramping-horse scratched-being treated at farm-must requalify,Steward's List
2009,06/30/2009,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,CAPTIVA  DREAMIN,LAVERN A. BOWMAN,,Captiva Dreamin-Tr. Lavern Bowman-reared in gate-head laceration-back in training,
2009,06/30/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,A P GRACIE,KARL M. GRUSMARK,,A P Gracie-Tr. Karl Grusmark-RH leg fx-euthanized,Euthanasia
2009,06/30/2009,FALL OF HORSE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,Vintage,BRUCE D. ANDERSON,,Proud Vintage-Tr. Bruce Anderson-clipped heels & fell-Jockey Rubin Rojas broke collar bone-no injury to horse,
2009,06/30/2009,RACING INCIDENT,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,,Kid Smokey,EDWARD C. PERDUE,,Kid Smokey-Tr. Edward Perdue-reared in starting gate-declared non-starter-no injuries to horse or rider,
2009,07/01/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 22,Training,Thoroughbred,Thunder Storms,Kentucky Bluebird,PATRICK J. KELLY,,Kentucky Bluebird-Patrick Kelly-Found in stall reinjured LH condylar fx-euthanized,Euthanasia
2009,07/01/2009,EQUINE DEATH,Belmont Park (NYRA),Wire then Barn 10 Aqueduct,Racing,Thoroughbred,Clouds & Sun,Big Stack,RICHARD E. DUTROW JR,,Big Stack-Tr. Richard Dutrow-RF sesamoid fxs-euthanized,Euthanasia
2009,07/01/2009,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga barn 64,Other,Thoroughbred,Thunder storms,Unamed 07 Always Red,BRUCE N. LEVINE,,Unamed 07 Always Red-Tr. Bruce Levine-Found in stall w/ Fx L femur-euthanized,Euthanasia
2009,07/04/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Clear,Wally West,APRIL C. ALDRICH,,Wally West-Tr. April Aldrich-previous LL cannon bone fx-turned out 2 mos.-returned to race,
2009,07/04/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/8 pole,Racing,Harness,Clear,Dream Well,ROBERT W. HARMON *,,Dream Well-Tr. Robert Harmon-Caught up in hobbles fell-horse OK-must requalify,Steward's List
2009,07/05/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 36 -Belmont,Other,Thoroughbred,,Atlantic Fleet,DAVID P. DUGGAN,,Atlantic Fleet-Tr. David Duggan-complication from cellultis (laminatis)-euthanized,Euthanasia
2009,07/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Other,Thoroughbred,,GET YOUR GROOVE ON,OSCAR S. BARRERA JR,,Get Your Groove On-Tr. Oscar S Barrera  Jr-pleuro pneumonia-euthanized,Euthanasia
2009,07/08/2009,EQUINE DEATH,Belmont Park (NYRA),Barn #15,Training,Thoroughbred,Sunny,Kid Hendrix,FRANK MARTIN,,Kid Hendrix-Tr. Frank Martin-LF fx from 2008-unable to recover from injury-euthanized,Euthanasia
